index,id,speaker,text,ref_audio,emotion_ref_audio,emotion,emo_alpha,target_duration_s,fit_duration,max_tokens,output_path,model,version,duration_s,elapsed_s,rtf,emotion_source,emotion_json,dominant_emotion,qwen_elapsed_s,qwen_raw_text
1,0001_speaker,逗哏,各位观众，欢迎收听今日 AI 修仙群瞎哔哔报告。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,,0.55,,False,320,/Users/vanch/tts_benchmarks/20260514_64row_compare/indextts2/0001_0001_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,4.83,15.19,3.145,reference,,,,
2,0002_speaker,捧哏,今天这群不叫聊天群。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0071_crosstalk_0215374-0217032.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0071_crosstalk_0215374-0217032.wav,,0.58,,False,320,/Users/vanch/tts_benchmarks/20260514_64row_compare/indextts2/0002_0002_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,2.612,2.438,0.9331,reference,,,,
3,0003_speaker,逗哏,那叫什么？,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0411_crosstalk_1496417-1497956.wav,,0.7,,False,320,/Users/vanch/tts_benchmarks/20260514_64row_compare/indextts2/0003_0003_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,1.347,1.939,1.4396,reference,,,,
4,0004_speaker,捧哏,叫羊毛批发市场，顺便卖点人生苦难。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0071_crosstalk_0215374-0217032.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0077_crosstalk_0237975-0240670.wav,,0.74,,False,320,/Users/vanch/tts_benchmarks/20260514_64row_compare/indextts2/0004_0004_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,4.203,3.274,0.779,reference,,,,
5,0005_speaker,逗哏,先说第一案，薅羊毛大战。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,,0.56,,False,320,/Users/vanch/tts_benchmarks/20260514_64row_compare/indextts2/0005_0005_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,2.345,1.77,0.7548,reference,,,,
6,0006_speaker,捧哏,这个我熟，日抛号，周抛号，共享额度，反重力废了改 Codex。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0071_crosstalk_0215374-0217032.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0077_crosstalk_0237975-0240670.wav,,0.72,,False,350,/Users/vanch/tts_benchmarks/20260514_64row_compare/indextts2/0006_0006_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,5.805,3.681,0.6342,reference,,,,
7,0007_speaker,逗哏,还有人双开 Codex。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0411_crosstalk_1496417-1497956.wav,,0.76,,False,320,/Users/vanch/tts_benchmarks/20260514_64row_compare/indextts2/0007_0007_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,2.415,1.825,0.7558,reference,,,,
8,0008_speaker,捧哏,好家伙，别人双开游戏，他双开牛马。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0071_crosstalk_0215374-0217032.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0325_crosstalk_1178247-1185150.wav,,0.64,,False,320,/Users/vanch/tts_benchmarks/20260514_64row_compare/indextts2/0008_0008_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,4.923,3.734,0.7586,reference,,,,
9,0009_speaker,逗哏,叶总深夜总结，牛马都是跟着羊毛走的。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0075_crosstalk_0230717-0236108.wav,,0.72,,False,320,/Users/vanch/tts_benchmarks/20260514_64row_compare/indextts2/0009_0009_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,4.841,3.438,0.7101,reference,,,,
10,0010_speaker,捧哏,这话扎心了。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0071_crosstalk_0215374-0217032.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0512_crosstalk_1813956-1816924.wav,,0.62,,False,320,/Users/vanch/tts_benchmarks/20260514_64row_compare/indextts2/0010_0010_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,1.892,1.798,0.9499,reference,,,,
