ref,trim_ms,id,text,output_path,duration_s
same0222_clean,0,0001,各位观众，欢迎收听今日 AI 修仙群瞎哔哔报告。,/Users/vanch/tts_benchmarks/omnivoice_clean_speaker_ref_probe_20260516/same0222_clean_trim000_0001.wav,4.16
same0222_clean,0,0005,先说第一案，薅羊毛大战。,/Users/vanch/tts_benchmarks/omnivoice_clean_speaker_ref_probe_20260516/same0222_clean_trim000_0005.wav,2.32
same0222_clean,60,0001,各位观众，欢迎收听今日 AI 修仙群瞎哔哔报告。,/Users/vanch/tts_benchmarks/omnivoice_clean_speaker_ref_probe_20260516/same0222_clean_trim060_0001.wav,4.04
same0222_clean,60,0005,先说第一案，薅羊毛大战。,/Users/vanch/tts_benchmarks/omnivoice_clean_speaker_ref_probe_20260516/same0222_clean_trim060_0005.wav,2.28
same0222_clean,120,0001,各位观众，欢迎收听今日 AI 修仙群瞎哔哔报告。,/Users/vanch/tts_benchmarks/omnivoice_clean_speaker_ref_probe_20260516/same0222_clean_trim120_0001.wav,3.92
same0222_clean,120,0005,先说第一案，薅羊毛大战。,/Users/vanch/tts_benchmarks/omnivoice_clean_speaker_ref_probe_20260516/same0222_clean_trim120_0005.wav,2.2
speaker0526_clean,0,0001,各位观众，欢迎收听今日 AI 修仙群瞎哔哔报告。,/Users/vanch/tts_benchmarks/omnivoice_clean_speaker_ref_probe_20260516/speaker0526_clean_trim000_0001.wav,3.96
speaker0526_clean,0,0005,先说第一案，薅羊毛大战。,/Users/vanch/tts_benchmarks/omnivoice_clean_speaker_ref_probe_20260516/speaker0526_clean_trim000_0005.wav,2.28
speaker0526_clean,60,0001,各位观众，欢迎收听今日 AI 修仙群瞎哔哔报告。,/Users/vanch/tts_benchmarks/omnivoice_clean_speaker_ref_probe_20260516/speaker0526_clean_trim060_0001.wav,3.8
speaker0526_clean,60,0005,先说第一案，薅羊毛大战。,/Users/vanch/tts_benchmarks/omnivoice_clean_speaker_ref_probe_20260516/speaker0526_clean_trim060_0005.wav,2.2
speaker0526_clean,120,0001,各位观众，欢迎收听今日 AI 修仙群瞎哔哔报告。,/Users/vanch/tts_benchmarks/omnivoice_clean_speaker_ref_probe_20260516/speaker0526_clean_trim120_0001.wav,3.64
speaker0526_clean,120,0005,先说第一案，薅羊毛大战。,/Users/vanch/tts_benchmarks/omnivoice_clean_speaker_ref_probe_20260516/speaker0526_clean_trim120_0005.wav,2.12
