index,id,speaker,text,ref_audio,emotion_ref_audio,emotion,emo_alpha,target_duration_s,fit_duration,max_tokens,output_path,model,version,duration_s,elapsed_s,rtf,emotion_source,emotion_json,dominant_emotion,qwen_elapsed_s,qwen_raw_text
1,0001_speaker,逗哏,各位观众，欢迎收听今日 AI 修仙群瞎哔哔报告。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,,0.55,,False,320,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/indextts/0001_0001_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,4.69,10.933,2.3309,reference,,,,
2,0002_speaker,捧哏,今天这群不叫聊天群。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0071_crosstalk_0215374-0217032.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0071_crosstalk_0215374-0217032.wav,,0.58,,False,320,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/indextts/0002_0002_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,2.728,2.778,1.0184,reference,,,,
3,0003_speaker,逗哏,那叫什么？,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0411_crosstalk_1496417-1497956.wav,,0.7,,False,320,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/indextts/0003_0003_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,1.033,3.756,3.6353,reference,,,,
4,0004_speaker,捧哏,叫羊毛批发市场，顺便卖点人生苦难。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0071_crosstalk_0215374-0217032.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0077_crosstalk_0237975-0240670.wav,,0.74,,False,320,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/indextts/0004_0004_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,3.471,8.022,2.3108,reference,,,,
5,0005_speaker,逗哏,先说第一案，薅羊毛大战。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,,0.56,,False,320,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/indextts/0005_0005_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,2.31,2.599,1.1247,reference,,,,
6,0006_speaker,捧哏,这个我熟，日抛号，周抛号，共享额度，反重力废了改 Codex。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0071_crosstalk_0215374-0217032.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0077_crosstalk_0237975-0240670.wav,,0.72,,False,350,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/indextts/0006_0006_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,5.422,3.761,0.6936,reference,,,,
7,0007_speaker,逗哏,还有人双开 Codex。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0411_crosstalk_1496417-1497956.wav,,0.76,,False,320,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/indextts/0007_0007_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,3.03,2.166,0.7149,reference,,,,
8,0008_speaker,捧哏,好家伙，别人双开游戏，他双开牛马。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0071_crosstalk_0215374-0217032.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0325_crosstalk_1178247-1185150.wav,,0.64,,False,320,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/indextts/0008_0008_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,4.447,3.556,0.7997,reference,,,,
9,0009_speaker,逗哏,叶总深夜总结，牛马都是跟着羊毛走的。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0075_crosstalk_0230717-0236108.wav,,0.72,,False,320,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/indextts/0009_0009_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,4.748,3.64,0.7665,reference,,,,
10,0010_speaker,捧哏,这话扎心了。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0071_crosstalk_0215374-0217032.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0512_crosstalk_1813956-1816924.wav,,0.62,,False,320,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/indextts/0010_0010_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,1.916,2.153,1.1239,reference,,,,
