index,id,text,ref_audio,ref_text,ref_text_source,instruct,output_path,elapsed_s,duration_s,rtf
1,0001_speaker,各位观众，欢迎收听今日 AI 修仙群瞎哔哔报告。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0526_crosstalk_1868611-1871268.wav,您再解释解释，也是咱俩的事儿。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0001_0001_speaker.wav,1.82,3.96,0.4595
2,0002_speaker,今天这群不叫聊天群。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0527_crosstalk_1871268-1874633.wav,拿咱俩举例子，这时候您就不是有钱人了。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0002_0002_speaker.wav,1.278,2.24,0.5706
3,0003_speaker,那叫什么？,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0526_crosstalk_1868611-1871268.wav,您再解释解释，也是咱俩的事儿。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0003_0003_speaker.wav,1.077,0.705,1.5288
4,0004_speaker,叫羊毛批发市场，顺便卖点人生苦难。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0527_crosstalk_1871268-1874633.wav,拿咱俩举例子，这时候您就不是有钱人了。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0004_0004_speaker.wav,1.599,3.24,0.4936
5,0005_speaker,先说第一案，薅羊毛大战。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0526_crosstalk_1868611-1871268.wav,您再解释解释，也是咱俩的事儿。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0005_0005_speaker.wav,1.196,2.28,0.5247
6,0006_speaker,这个我熟，日抛号，周抛号，共享额度，反重力废了改 Codex。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0527_crosstalk_1871268-1874633.wav,拿咱俩举例子，这时候您就不是有钱人了。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0006_0006_speaker.wav,1.986,4.56,0.4355
7,0007_speaker,还有人双开 Codex。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0526_crosstalk_1868611-1871268.wav,您再解释解释，也是咱俩的事儿。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0007_0007_speaker.wav,1.094,1.8,0.608
8,0008_speaker,好家伙，别人双开游戏，他双开牛马。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0527_crosstalk_1871268-1874633.wav,拿咱俩举例子，这时候您就不是有钱人了。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0008_0008_speaker.wav,1.744,3.08,0.5661
9,0009_speaker,叶总深夜总结，牛马都是跟着羊毛走的。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0526_crosstalk_1868611-1871268.wav,您再解释解释，也是咱俩的事儿。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0009_0009_speaker.wav,1.588,3.062,0.5188
10,0010_speaker,这话扎心了。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0527_crosstalk_1871268-1874633.wav,拿咱俩举例子，这时候您就不是有钱人了。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0010_0010_speaker.wav,1.396,2.24,0.6231
11,0011_speaker,更扎心的是，被 AI 训练成只睡五小时。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0526_crosstalk_1868611-1871268.wav,您再解释解释，也是咱俩的事儿。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0011_0011_speaker.wav,1.481,3.32,0.4462
12,0012_speaker,以前熬夜是为了爱情，现在熬夜是为了额度刷新。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0527_crosstalk_1871268-1874633.wav,拿咱俩举例子，这时候您就不是有钱人了。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0012_0012_speaker.wav,1.883,4.2,0.4483
13,0013_speaker,第二案，土狗道人的血泪创业史。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0526_crosstalk_1868611-1871268.wav,您再解释解释，也是咱俩的事儿。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0013_0013_speaker.wav,1.428,2.96,0.4824
14,0014_speaker,听名字就像开局一条狗，装备全靠封。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0527_crosstalk_1871268-1874633.wav,拿咱俩举例子，这时候您就不是有钱人了。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0014_0014_speaker.wav,1.727,3.24,0.5329
