index,id,speaker,text,ref_audio,emotion_ref_audio,emotion,emo_alpha,output_path,model,version,duration_s,elapsed_s,rtf,emotion_source,emotion_json,dominant_emotion,qwen_elapsed_s,qwen_raw_text,output_wav,backend,model_dir,quantization,max_len
1,0001_speaker,逗哏,各位观众，欢迎收听今日 AI 修仙群瞎哔哔报告。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,,0.55,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0001_0001_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,4.1600,2.5051,0.6022,reference,,,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/voxcpm2/segments/0001_0001_speaker.wav,native,models/VoxCPM2-official-mlx-int8-components,mlx-int8-linear,36
2,0002_speaker,捧哏,今天这群不叫聊天群。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0071_crosstalk_0215374-0217032.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0071_crosstalk_0215374-0217032.wav,,0.58,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0002_0002_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,1.4400,0.3640,0.2528,reference,,,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/voxcpm2/segments/0002_0002_speaker.wav,native,models/VoxCPM2-official-mlx-int8-components,mlx-int8-linear,24
3,0003_speaker,逗哏,那叫什么？,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0411_crosstalk_1496417-1497956.wav,,0.7,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0003_0003_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,0.4800,0.1951,0.4064,reference,,,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/voxcpm2/segments/0003_0003_speaker.wav,native,models/VoxCPM2-official-mlx-int8-components,mlx-int8-linear,24
4,0004_speaker,捧哏,叫羊毛批发市场，顺便卖点人生苦难。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0071_crosstalk_0215374-0217032.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0077_crosstalk_0237975-0240670.wav,,0.74,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0004_0004_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,4.1600,0.8848,0.2127,reference,,,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/voxcpm2/segments/0004_0004_speaker.wav,native,models/VoxCPM2-official-mlx-int8-components,mlx-int8-linear,27
5,0005_speaker,逗哏,先说第一案，薅羊毛大战。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,,0.56,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0005_0005_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,2.5600,0.6042,0.2360,reference,,,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/voxcpm2/segments/0005_0005_speaker.wav,native,models/VoxCPM2-official-mlx-int8-components,mlx-int8-linear,24
6,0006_speaker,捧哏,这个我熟，日抛号，周抛号，共享额度，反重力废了改 Codex。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0071_crosstalk_0215374-0217032.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0077_crosstalk_0237975-0240670.wav,,0.72,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0006_0006_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,5.7600,1.2121,0.2104,reference,,,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/voxcpm2/segments/0006_0006_speaker.wav,native,models/VoxCPM2-official-mlx-int8-components,mlx-int8-linear,45
7,0007_speaker,逗哏,还有人双开 Codex。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0411_crosstalk_1496417-1497956.wav,,0.76,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0007_0007_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,2.2400,0.5459,0.2437,reference,,,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/voxcpm2/segments/0007_0007_speaker.wav,native,models/VoxCPM2-official-mlx-int8-components,mlx-int8-linear,24
8,0008_speaker,捧哏,好家伙，别人双开游戏，他双开牛马。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0071_crosstalk_0215374-0217032.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0325_crosstalk_1178247-1185150.wav,,0.64,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0008_0008_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,3.2000,0.6993,0.2185,reference,,,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/voxcpm2/segments/0008_0008_speaker.wav,native,models/VoxCPM2-official-mlx-int8-components,mlx-int8-linear,25
9,0009_speaker,逗哏,叶总深夜总结，牛马都是跟着羊毛走的。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0075_crosstalk_0230717-0236108.wav,,0.72,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0009_0009_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,3.3600,0.7620,0.2268,reference,,,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/voxcpm2/segments/0009_0009_speaker.wav,native,models/VoxCPM2-official-mlx-int8-components,mlx-int8-linear,29
10,0010_speaker,捧哏,这话扎心了。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0071_crosstalk_0215374-0217032.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0512_crosstalk_1813956-1816924.wav,,0.62,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0010_0010_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,1.9200,0.4481,0.2334,reference,,,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/voxcpm2/segments/0010_0010_speaker.wav,native,models/VoxCPM2-official-mlx-int8-components,mlx-int8-linear,24
