index,id,speaker,text,ref_audio,ref_text,voice,instruct,output_path,clone_mode,ref_text_source,require_ref_text,segments,sample_rate,duration_s,elapsed_s,rtf,max_tokens
1,0001_speaker,逗哏,各位观众，欢迎收听今日 AI 修仙群瞎哔哔报告。,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0526_crosstalk_1868611-1871268_demucs_vocals.wav,您再解释解释，也是咱俩的事儿。,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/qwen_tts/segments/0001_0001_speaker.wav,icl_ref_audio_ref_text,explicit,True,1,24000,3.76,3.2728,0.8704,80
2,0002_speaker,捧哏,今天这群不叫聊天群。,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0289_crosstalk_1020549-1022581_demucs_vocals.wav,老太太连翻身都翻不了了。,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/qwen_tts/segments/0002_0002_speaker.wav,icl_ref_audio_ref_text,explicit,True,1,24000,1.92,0.7397,0.3852,48
3,0003_speaker,逗哏,那叫什么？,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0526_crosstalk_1868611-1871268_demucs_vocals.wav,您再解释解释，也是咱俩的事儿。,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/qwen_tts/segments/0003_0003_speaker.wav,icl_ref_audio_ref_text,explicit,True,1,24000,0.56,0.3383,0.6041,48
4,0004_speaker,捧哏,叫羊毛批发市场，顺便卖点人生苦难。,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0289_crosstalk_1020549-1022581_demucs_vocals.wav,老太太连翻身都翻不了了。,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/qwen_tts/segments/0004_0004_speaker.wav,icl_ref_audio_ref_text,explicit,True,1,24000,3.68,1.5725,0.4273,60
5,0005_speaker,逗哏,先说第一案，薅羊毛大战。,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0526_crosstalk_1868611-1871268_demucs_vocals.wav,您再解释解释，也是咱俩的事儿。,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/qwen_tts/segments/0005_0005_speaker.wav,icl_ref_audio_ref_text,explicit,True,1,24000,2.08,0.965,0.4639,48
6,0006_speaker,捧哏,这个我熟，日抛号，周抛号，共享额度，反重力废了改 Codex。,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0289_crosstalk_1020549-1022581_demucs_vocals.wav,老太太连翻身都翻不了了。,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/qwen_tts/segments/0006_0006_speaker.wav,icl_ref_audio_ref_text,explicit,True,1,24000,5.28,1.8761,0.3553,100
7,0007_speaker,逗哏,还有人双开 Codex。,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0526_crosstalk_1868611-1871268_demucs_vocals.wav,您再解释解释，也是咱俩的事儿。,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/qwen_tts/segments/0007_0007_speaker.wav,icl_ref_audio_ref_text,explicit,True,1,24000,1.68,0.6877,0.4094,48
8,0008_speaker,捧哏,好家伙，别人双开游戏，他双开牛马。,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0289_crosstalk_1020549-1022581_demucs_vocals.wav,老太太连翻身都翻不了了。,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/qwen_tts/segments/0008_0008_speaker.wav,icl_ref_audio_ref_text,explicit,True,1,24000,3.44,1.2242,0.3559,56
9,0009_speaker,逗哏,叶总深夜总结，牛马都是跟着羊毛走的。,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0526_crosstalk_1868611-1871268_demucs_vocals.wav,您再解释解释，也是咱俩的事儿。,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/qwen_tts/segments/0009_0009_speaker.wav,icl_ref_audio_ref_text,explicit,True,1,24000,3.6,1.3197,0.3666,64
10,0010_speaker,捧哏,这话扎心了。,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0289_crosstalk_1020549-1022581_demucs_vocals.wav,老太太连翻身都翻不了了。,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/qwen_tts/segments/0010_0010_speaker.wav,icl_ref_audio_ref_text,explicit,True,1,24000,0.96,0.4318,0.4498,48
