label,model_path,text,output_path,elapsed_s,audio_s,rtf,note,clone_mode,ref_audio,ref_text,max_tokens
0001_speaker,models/Qwen3-TTS-official-mlx-int8,各位观众，欢迎收听今日 AI 修仙群瞎哔哔报告。,/Users/vanch/tts_benchmarks/20260514_64row_compare/qwen3/0001_逗哏.wav,6.656314665975515,4.08,1.6314496730332144,逗哏,icl_ref_audio_ref_text,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0526_crosstalk_1868611-1871268_demucs_vocals.wav,您再解释解释，也是咱俩的事儿。,88
0002_speaker,models/Qwen3-TTS-official-mlx-int8,今天这群不叫聊天群。,/Users/vanch/tts_benchmarks/20260514_64row_compare/qwen3/0002_捧哏.wav,0.5788490840350278,1.6,0.36178067752189236,捧哏,icl_ref_audio_ref_text,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0289_crosstalk_1020549-1022581_demucs_vocals.wav,老太太连翻身都翻不了了。,48
0003_speaker,models/Qwen3-TTS-official-mlx-int8,那叫什么？,/Users/vanch/tts_benchmarks/20260514_64row_compare/qwen3/0003_逗哏.wav,0.28420391702093184,0.56,0.5075069946802354,逗哏,icl_ref_audio_ref_text,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0526_crosstalk_1868611-1871268_demucs_vocals.wav,您再解释解释，也是咱俩的事儿。,48
0004_speaker,models/Qwen3-TTS-official-mlx-int8,叫羊毛批发市场，顺便卖点人生苦难。,/Users/vanch/tts_benchmarks/20260514_64row_compare/qwen3/0004_捧哏.wav,1.130557750002481,3.68,0.30721677989197854,捧哏,icl_ref_audio_ref_text,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0289_crosstalk_1020549-1022581_demucs_vocals.wav,老太太连翻身都翻不了了。,68
0005_speaker,models/Qwen3-TTS-official-mlx-int8,先说第一案，薅羊毛大战。,/Users/vanch/tts_benchmarks/20260514_64row_compare/qwen3/0005_逗哏.wav,0.7509027090272866,2.16,0.34764014306818825,逗哏,icl_ref_audio_ref_text,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0526_crosstalk_1868611-1871268_demucs_vocals.wav,您再解释解释，也是咱俩的事儿。,48
0006_speaker,models/Qwen3-TTS-official-mlx-int8,这个我熟，日抛号，周抛号，共享额度，反重力废了改 Codex。,/Users/vanch/tts_benchmarks/20260514_64row_compare/qwen3/0006_捧哏.wav,1.5887209580396302,5.28,0.30089412084083905,捧哏,icl_ref_audio_ref_text,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0289_crosstalk_1020549-1022581_demucs_vocals.wav,老太太连翻身都翻不了了。,120
0007_speaker,models/Qwen3-TTS-official-mlx-int8,还有人双开 Codex。,/Users/vanch/tts_benchmarks/20260514_64row_compare/qwen3/0007_逗哏.wav,0.6482498329714872,1.68,0.38586299581636146,逗哏,icl_ref_audio_ref_text,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0526_crosstalk_1868611-1871268_demucs_vocals.wav,您再解释解释，也是咱俩的事儿。,48
0008_speaker,models/Qwen3-TTS-official-mlx-int8,好家伙，别人双开游戏，他双开牛马。,/Users/vanch/tts_benchmarks/20260514_64row_compare/qwen3/0008_捧哏.wav,1.1926618340075947,3.68,0.3240928896759768,捧哏,icl_ref_audio_ref_text,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0289_crosstalk_1020549-1022581_demucs_vocals.wav,老太太连翻身都翻不了了。,68
0009_speaker,models/Qwen3-TTS-official-mlx-int8,叶总深夜总结，牛马都是跟着羊毛走的。,/Users/vanch/tts_benchmarks/20260514_64row_compare/qwen3/0009_逗哏.wav,1.0065543330274522,3.12,0.32261356827802956,逗哏,icl_ref_audio_ref_text,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0526_crosstalk_1868611-1871268_demucs_vocals.wav,您再解释解释，也是咱俩的事儿。,72
0010_speaker,models/Qwen3-TTS-official-mlx-int8,这话扎心了。,/Users/vanch/tts_benchmarks/20260514_64row_compare/qwen3/0010_捧哏.wav,0.41709262499352917,1.04,0.40105060095531647,捧哏,icl_ref_audio_ref_text,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0289_crosstalk_1020549-1022581_demucs_vocals.wav,老太太连翻身都翻不了了。,48
0011_speaker,models/Qwen3-TTS-official-mlx-int8,更扎心的是，被 AI 训练成只睡五小时。,/Users/vanch/tts_benchmarks/20260514_64row_compare/qwen3/0011_逗哏.wav,0.9737106669927016,3.04,0.3202995615107571,逗哏,icl_ref_audio_ref_text,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0526_crosstalk_1868611-1871268_demucs_vocals.wav,您再解释解释，也是咱俩的事儿。,72
0012_speaker,models/Qwen3-TTS-official-mlx-int8,以前熬夜是为了爱情，现在熬夜是为了额度刷新。,/Users/vanch/tts_benchmarks/20260514_64row_compare/qwen3/0012_捧哏.wav,1.072308750008233,3.44,0.3117176598861142,捧哏,icl_ref_audio_ref_text,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0289_crosstalk_1020549-1022581_demucs_vocals.wav,老太太连翻身都翻不了了。,88
0013_speaker,models/Qwen3-TTS-official-mlx-int8,第二案，土狗道人的血泪创业史。,/Users/vanch/tts_benchmarks/20260514_64row_compare/qwen3/0013_逗哏.wav,1.0927879590308294,3.36,0.3252345116163183,逗哏,icl_ref_audio_ref_text,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0526_crosstalk_1868611-1871268_demucs_vocals.wav,您再解释解释，也是咱俩的事儿。,60
0014_speaker,models/Qwen3-TTS-official-mlx-int8,听名字就像开局一条狗，装备全靠封。,/Users/vanch/tts_benchmarks/20260514_64row_compare/qwen3/0014_捧哏.wav,1.146152000001166,3.68,0.3114543478264038,捧哏,icl_ref_audio_ref_text,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0289_crosstalk_1020549-1022581_demucs_vocals.wav,老太太连翻身都翻不了了。,68
0015_speaker,models/Qwen3-TTS-official-mlx-int8,他本来想卖 Plus 号，大干一场。,/Users/vanch/tts_benchmarks/20260514_64row_compare/qwen3/0015_逗哏.wav,0.8635196670074947,2.56,0.3373123699248026,逗哏,icl_ref_audio_ref_text,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0526_crosstalk_1868611-1871268_demucs_vocals.wav,您再解释解释，也是咱俩的事儿。,64
0016_speaker,models/Qwen3-TTS-official-mlx-int8,然后呢？,/Users/vanch/tts_benchmarks/20260514_64row_compare/qwen3/0016_捧哏.wav,0.34526249999180436,0.8,0.43157812498975545,捧哏,icl_ref_audio_ref_text,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0289_crosstalk_1020549-1022581_demucs_vocals.wav,老太太连翻身都翻不了了。,48
0017_speaker,models/Qwen3-TTS-official-mlx-int8,闲鱼光速封号。,/Users/vanch/tts_benchmarks/20260514_64row_compare/qwen3/0017_逗哏.wav,0.5166877079755068,1.36,0.3799174323349314,逗哏,icl_ref_audio_ref_text,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0526_crosstalk_1868611-1871268_demucs_vocals.wav,您再解释解释，也是咱俩的事儿。,48
0018_speaker,models/Qwen3-TTS-official-mlx-int8,这不叫创业，这叫平台给你做法事。,/Users/vanch/tts_benchmarks/20260514_64row_compare/qwen3/0018_捧哏.wav,0.8508496250142343,2.72,0.3128123621375861,捧哏,icl_ref_audio_ref_text,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0289_crosstalk_1020549-1022581_demucs_vocals.wav,老太太连翻身都翻不了了。,64
0019_speaker,models/Qwen3-TTS-official-mlx-int8,更离谱的是，他还被小红书忽悠去了西藏。,/Users/vanch/tts_benchmarks/20260514_64row_compare/qwen3/0019_逗哏.wav,1.042439250042662,3.2,0.3257622656383319,逗哏,icl_ref_audio_ref_text,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0526_crosstalk_1868611-1871268_demucs_vocals.wav,您再解释解释，也是咱俩的事儿。,76
0020_speaker,models/Qwen3-TTS-official-mlx-int8,说走就走？,/Users/vanch/tts_benchmarks/20260514_64row_compare/qwen3/0020_捧哏.wav,0.4885962500120513,1.04,0.46980408655004935,捧哏,icl_ref_audio_ref_text,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0289_crosstalk_1020549-1022581_demucs_vocals.wav,老太太连翻身都翻不了了。,48
0021_speaker,models/Qwen3-TTS-official-mlx-int8,说疼就疼。肾结石加高反，直接飞回。,/Users/vanch/tts_benchmarks/20260514_64row_compare/qwen3/0021_逗哏.wav,1.143163042026572,3.6,0.31754528945182553,逗哏,icl_ref_audio_ref_text,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0526_crosstalk_1868611-1871268_demucs_vocals.wav,您再解释解释，也是咱俩的事儿。,68
0022_speaker,models/Qwen3-TTS-official-mlx-int8,别人去西藏净化心灵，他去西藏净化肾结石。,/Users/vanch/tts_benchmarks/20260514_64row_compare/qwen3/0022_捧哏.wav,1.2834069170057774,4.16,0.3085112781263888,捧哏,icl_ref_audio_ref_text,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0289_crosstalk_1020549-1022581_demucs_vocals.wav,老太太连翻身都翻不了了。,80
0023_speaker,models/Qwen3-TTS-official-mlx-int8,回来一句，小红书最多看看擦边。,/Users/vanch/tts_benchmarks/20260514_64row_compare/qwen3/0023_逗哏.wav,0.900137500022538,2.64,0.34096117425096134,逗哏,icl_ref_audio_ref_text,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0526_crosstalk_1868611-1871268_demucs_vocals.wav,您再解释解释，也是咱俩的事儿。,60
0024_speaker,models/Qwen3-TTS-official-mlx-int8,总结到位，医学和互联网双重祛魅。,/Users/vanch/tts_benchmarks/20260514_64row_compare/qwen3/0024_捧哏.wav,1.064512333017774,3.44,0.3094512595981901,捧哏,icl_ref_audio_ref_text,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0289_crosstalk_1020549-1022581_demucs_vocals.wav,老太太连翻身都翻不了了。,64
0025_speaker,models/Qwen3-TTS-official-mlx-int8,第三案，神仙打架。,/Users/vanch/tts_benchmarks/20260514_64row_compare/qwen3/0025_逗哏.wav,0.6412492080125958,1.76,0.3643461409162476,逗哏,icl_ref_audio_ref_text,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0526_crosstalk_1868611-1871268_demucs_vocals.wav,您再解释解释，也是咱俩的事儿。,48
0026_speaker,models/Qwen3-TTS-official-mlx-int8,什么神仙？,/Users/vanch/tts_benchmarks/20260514_64row_compare/qwen3/0026_捧哏.wav,0.31903254200005904,0.72,0.4431007527778598,捧哏,icl_ref_audio_ref_text,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0289_crosstalk_1020549-1022581_demucs_vocals.wav,老太太连翻身都翻不了了。,48
0027_speaker,models/Qwen3-TTS-official-mlx-int8,有人逆向 DeepSeek 安卓包，一块钱搞定。,/Users/vanch/tts_benchmarks/20260514_64row_compare/qwen3/0027_逗哏.wav,0.8999395000282675,2.8,0.32140696429580984,逗哏,icl_ref_audio_ref_text,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0526_crosstalk_1868611-1871268_demucs_vocals.wav,您再解释解释，也是咱俩的事儿。,88
0028_speaker,models/Qwen3-TTS-official-mlx-int8,一块钱？这叫技术吗？,/Users/vanch/tts_benchmarks/20260514_64row_compare/qwen3/0028_捧哏.wav,0.5938574169995263,1.6800416666666667,0.3534777909275224,捧哏,icl_ref_audio_ref_text,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0289_crosstalk_1020549-1022581_demucs_vocals.wav,老太太连翻身都翻不了了。,48
0029_speaker,models/Qwen3-TTS-official-mlx-int8,这叫把奥特曼手撸成拼多多版本。,/Users/vanch/tts_benchmarks/20260514_64row_compare/qwen3/0029_逗哏.wav,0.8311068330076523,2.48,0.3351237229869566,逗哏,icl_ref_audio_ref_text,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0526_crosstalk_1868611-1871268_demucs_vocals.wav,您再解释解释，也是咱俩的事儿。,60
0030_speaker,models/Qwen3-TTS-official-mlx-int8,然后群里又开始喷拼车二十倍 Pro。,/Users/vanch/tts_benchmarks/20260514_64row_compare/qwen3/0030_捧哏.wav,0.8208649589796551,2.56,0.32065037460142776,捧哏,icl_ref_audio_ref_text,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0289_crosstalk_1020549-1022581_demucs_vocals.wav,老太太连翻身都翻不了了。,68
0031_speaker,models/Qwen3-TTS-official-mlx-int8,说不是独立额度，跟正价有啥区别。,/Users/vanch/tts_benchmarks/20260514_64row_compare/qwen3/0031_逗哏.wav,0.9765840839827433,3.04,0.32124476446800765,逗哏,icl_ref_audio_ref_text,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0526_crosstalk_1868611-1871268_demucs_vocals.wav,您再解释解释，也是咱俩的事儿。,64
0032_speaker,models/Qwen3-TTS-official-mlx-int8,拼车拼到最后，发现司机也是乘客。,/Users/vanch/tts_benchmarks/20260514_64row_compare/qwen3/0032_捧哏.wav,1.0896800000336953,3.28,0.3322195122053949,捧哏,icl_ref_audio_ref_text,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0289_crosstalk_1020549-1022581_demucs_vocals.wav,老太太连翻身都翻不了了。,64
0033_speaker,models/Qwen3-TTS-official-mlx-int8,叶总还插播越南妹实战指南。,/Users/vanch/tts_benchmarks/20260514_64row_compare/qwen3/0033_逗哏.wav,0.925410334020853,2.64,0.3505342174321413,逗哏,icl_ref_audio_ref_text,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0526_crosstalk_1868611-1871268_demucs_vocals.wav,您再解释解释，也是咱俩的事儿。,52
0034_speaker,models/Qwen3-TTS-official-mlx-int8,技术群突然变情感夜校。,/Users/vanch/tts_benchmarks/20260514_64row_compare/qwen3/0034_捧哏.wav,0.6384470410412177,1.92,0.3325245005423009,捧哏,icl_ref_audio_ref_text,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0289_crosstalk_1020549-1022581_demucs_vocals.wav,老太太连翻身都翻不了了。,48
0035_speaker,models/Qwen3-TTS-official-mlx-int8,有人说印尼妹周抛，越南妹更香。,/Users/vanch/tts_benchmarks/20260514_64row_compare/qwen3/0035_逗哏.wav,0.9516479999874718,2.96,0.3215027026984702,逗哏,icl_ref_audio_ref_text,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0526_crosstalk_1868611-1871268_demucs_vocals.wav,您再解释解释，也是咱俩的事儿。,60
0036_speaker,models/Qwen3-TTS-official-mlx-int8,好家伙，API 有日抛，恋爱也开始按套餐计费了。,/Users/vanch/tts_benchmarks/20260514_64row_compare/qwen3/0036_捧哏.wav,1.3019880409701727,4.1883333333333335,0.3108606544298064,捧哏,icl_ref_audio_ref_text,/Users/vanch/mlx-indextts2/outputs/groupchat_crosstalk_20260509_duo_auto_cleanrefs/clean_refs/0289_crosstalk_1020549-1022581_demucs_vocals.wav,老太太连翻身都翻不了了。,92
