severity,category,model_id,test_case_id,test_case_name,adapter_status,language,cer,wer,rtf,duration_sec,sample_rate,peak_dbfs,rms_dbfs,clipping_fraction,near_silence_fraction,noise_floor_dbfs,noise_to_speech_db,speech_rate_tps,speech_rate_score,duration_error,generated_audio_path,diagnosis,suggested_action
low,slow_generation,mlx_audio8_tts_8bit,core_en_numbers,英文数字、时间与价格朗读,success,en,0.0,0.0,2.2349,6.548,44100,-1.928,-21.628,0.0,0.20788,-54.149,37.268,2.2908,100.0,,/Users/vanch/tts-test-project/results/generated/v02_plus_vieneu_lux_scenema_20260610_091619/mlx_audio8_tts_8bit/core_en_numbers.wav,RTF=2.2349，生成慢于实时 2 倍以上。,优先作为性能优化项，不一定代表音频内容异常。
low,slow_generation,mlx_audio8_tts_8bit,core_ja_reading,日语汇率新闻朗读,success,ja,0.0312,0.0312,2.3285,5.9907,44100,-11.817,-31.225,0.0,0.321104,-59.005,32.354,5.3416,100.0,,/Users/vanch/tts-test-project/results/generated/v02_plus_vieneu_lux_scenema_20260610_091619/mlx_audio8_tts_8bit/core_ja_reading.wav,RTF=2.3285，生成慢于实时 2 倍以上。,优先作为性能优化项，不一定代表音频内容异常。
low,slow_generation,mlx_audio8_tts_8bit,core_zh_en_codeswitch,中英混读品牌与订单号朗读,success,zh_en,0.0,0.0909,2.2845,8.0805,44100,-6.197,-20.866,0.0,0.223883,-63.335,46.531,3.3414,100.0,,/Users/vanch/tts-test-project/results/generated/v02_plus_vieneu_lux_scenema_20260610_091619/mlx_audio8_tts_8bit/core_zh_en_codeswitch.wav,RTF=2.2845，生成慢于实时 2 倍以上。,优先作为性能优化项，不一定代表音频内容异常。
low,slow_generation,mlx_audio8_tts_8bit,core_zh_numbers,中文数字、时间与订单号朗读,success,zh,0.0303,0.1154,2.2113,9.4273,44100,-5.983,-20.831,0.0,0.190985,-58.753,41.797,3.7126,100.0,,/Users/vanch/tts-test-project/results/generated/v02_plus_vieneu_lux_scenema_20260610_091619/mlx_audio8_tts_8bit/core_zh_numbers.wav,RTF=2.2113，生成慢于实时 2 倍以上。,优先作为性能优化项，不一定代表音频内容异常。
low,slow_generation,mlx_fireredaudio_8bit,control_voice_design_asmr,中文近讲 ASMR 女声音色设计,success,zh,0.0,0.0,6.0937,5.44,24000,-5.212,-18.498,0.0,0.264928,-57.217,43.069,4.4118,100.0,,/Users/vanch/tts-test-project/results/generated/v02_plus_vieneu_lux_scenema_20260610_091619/mlx_fireredaudio_8bit/control_voice_design_asmr.wav,RTF=6.0937，生成慢于实时 2 倍以上。,优先作为性能优化项，不一定代表音频内容异常。
low,slow_generation,mlx_fireredaudio_8bit,control_voice_design_child,英文儿童故事女声音色设计,success,en,0.0,0.0,3.1956,6.4,24000,-6.367,-20.73,0.0,0.237155,-72.982,56.586,2.6562,100.0,,/Users/vanch/tts-test-project/results/generated/v02_plus_vieneu_lux_scenema_20260610_091619/mlx_fireredaudio_8bit/control_voice_design_child.wav,RTF=3.1956，生成慢于实时 2 倍以上。,优先作为性能优化项，不一定代表音频内容异常。
low,slow_generation,mlx_fireredaudio_8bit,scenema_clone_tarkin_en,英文表演式参考音色克隆,success,en,0.0,0.0,22.3818,6.08,24000,-2.155,-20.489,0.0,0.339104,-87.503,71.967,2.1382,100.0,,/Users/vanch/tts-test-project/results/generated/v02_plus_vieneu_lux_scenema_20260610_091619/mlx_fireredaudio_8bit/scenema_clone_tarkin_en.wav,RTF=22.3818，生成慢于实时 2 倍以上。,优先作为性能优化项，不一定代表音频内容异常。
low,slow_generation,mlx_fireredaudio_8bit,scenema_longform_en,英文长文本角色连续性,success,en,0.0,0.0,6.9609,14.08,24000,-1.503,-22.61,0.0,0.204963,-50.331,32.459,2.6989,100.0,,/Users/vanch/tts-test-project/results/generated/v02_plus_vieneu_lux_scenema_20260610_091619/mlx_fireredaudio_8bit/scenema_longform_en.wav,RTF=6.9609，生成慢于实时 2 倍以上。,优先作为性能优化项，不一定代表音频内容异常。
low,slow_generation,mlx_fireredaudio_8bit,stress_long_en,英文长文本连续稳定性,success,en,0.0,0.0,2.8177,12.0,24000,-2.345,-21.888,0.0,0.178559,-48.132,31.216,2.0833,100.0,,/Users/vanch/tts-test-project/results/generated/v02_plus_vieneu_lux_scenema_20260610_091619/mlx_fireredaudio_8bit/stress_long_en.wav,RTF=2.8177，生成慢于实时 2 倍以上。,优先作为性能优化项，不一定代表音频内容异常。
low,slow_generation,mlx_fireredaudio_8bit,stress_long_zh,中文长文本连续稳定性,success,zh,0.0,0.0,3.6084,20.32,24000,-1.695,-21.825,0.0,0.205512,-52.305,34.417,4.1339,100.0,,/Users/vanch/tts-test-project/results/generated/v02_plus_vieneu_lux_scenema_20260610_091619/mlx_fireredaudio_8bit/stress_long_zh.wav,RTF=3.6084，生成慢于实时 2 倍以上。,优先作为性能优化项，不一定代表音频内容异常。
